,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR
31,2021-07-14,697.25,105.050003,3754.800049,3001.949951,962.950012,6133.899902,2296.600098,84.25,838.700012,12991.200195,710.200012,859.900024,76.949997,89.849998,53.799999,144.350006,1052.599976,396.049988,647.5,244.199997,1547.199951,84.599998,632.049988,2249.350098,20.6,1420.900024,473.200012,737.299988,240.449997,3953.850098,812.099976,2900.699951,2414.850098,270.450012,186.050003,3011.649902,7118.049805,530.049988,990.099976,309.549988,144.649994
32,2021-07-15,699.099976,104.099998,3762.350098,2983.600098,955.900024,6129.700195,2311.949951,83.699997,841.150024,12958.950195,712.900024,874.150024,77.800003,88.400002,53.400002,143.25,1055.099976,397.0,651.150024,242.199997,1568.550049,83.949997,622.650024,2249.149902,20.049999,1457.900024,480.100006,733.049988,231.149994,3940.0,810.150024,2884.649902,2412.350098,266.100006,188.800003,3001.300049,7189.649902,525.450012,997.450012,310.25,144.800003
33,2021-07-16,687.599976,105.650002,3779.100098,2989.300049,975.549988,6125.450195,2385.25,81.699997,843.849976,12745.700195,719.5,857.5,77.5,87.900002,54.049999,143.350006,1044.300049,405.950012,667.400024,244.149994,1569.199951,88.300003,627.049988,2244.199951,19.9,1449.349976,480.5,727.849976,230.850006,3931.949951,807.349976,2904.699951,2417.399902,275.549988,186.949997,2990.75,7334.549805,541.150024,1003.549988,311.25,144.649994
34,2021-07-19,673.700012,102.150002,3883.75,2981.949951,965.099976,6015.399902,2344.699951,80.150002,835.299988,12721.099609,719.549988,861.599976,77.150002,86.0,52.599998,143.449997,1015.849976,393.450012,659.950012,244.649994,1541.849976,88.949997,626.25,2260.25,20.1,1389.849976,481.100006,722.299988,225.350006,3882.850098,812.049988,2887.100098,2408.649902,270.850006,186.199997,2969.199951,7312.350098,538.450012,1001.099976,308.850006,141.75
35,2021-07-20,672.599976,97.050003,3882.949951,3159.050049,965.5,5941.850098,2318.949951,78.900002,864.950012,12597.150391,694.549988,853.849976,75.75,83.75,51.200001,141.449997,981.549988,380.149994,653.650024,237.899994,1528.349976,85.199997,604.799988,2315.649902,19.1,1395.900024,475.700012,713.349976,221.699997,3905.399902,798.5,2839.0,2434.899902,265.950012,182.850006,2961.5,7424.700195,525.75,997.650024,302.149994,138.399994
36,2021-07-22,691.799988,101.800003,3985.300049,3106.75,972.099976,6195.549805,2331.449951,80.199997,855.700012,13064.599609,701.349976,864.950012,75.949997,84.25,52.150002,142.75,992.150024,394.399994,674.650024,237.149994,1604.650024,85.0,635.400024,2310.399902,18.799999,1395.300049,473.0,721.799988,226.449997,3853.199951,801.200012,2838.25,2378.149902,275.200012,196.449997,3013.550049,7459.0,546.700012,976.75,302.549988,135.699997
37,2021-07-23,680.049988,100.449997,3918.899902,3083.75,963.700012,6180.899902,2333.050049,79.849998,854.25,13201.200195,703.799988,858.299988,74.849998,85.400002,51.150002,143.75,989.299988,397.700012,683.450012,235.949997,1567.050049,82.449997,645.049988,2306.600098,17.9,1385.599976,473.450012,723.25,226.800003,3841.899902,788.900024,2835.0,2358.100098,283.649994,195.449997,3043.199951,7490.299805,548.299988,991.150024,295.549988,133.649994
38,2021-07-26,682.799988,97.949997,4100.350098,3061.199951,952.799988,6162.450195,2335.699951,79.75,849.75,13525.049805,703.450012,851.900024,75.800003,87.25,51.200001,143.449997,981.299988,403.799988,657.650024,230.600006,1556.800049,83.550003,646.799988,2321.300049,18.75,1370.400024,467.399994,724.200012,222.25,3836.350098,783.700012,2810.25,2348.699951,285.149994,194.350006,3079.199951,7616.700195,544.049988,1004.650024,293.149994,133.649994
39,2021-07-27,663.200012,94.75,4078.25,3028.649902,905.400024,6231.450195,2315.850098,80.0,843.599976,13807.849609,682.299988,845.650024,75.150002,86.300003,50.75,141.5,975.799988,419.799988,644.5,230.5,1560.449951,87.150002,653.799988,2300.649902,18.15,1365.699951,458.299988,718.299988,221.75,3821.399902,780.349976,2793.850098,2342.399902,277.399994,209.5,3002.850098,7596.25,540.549988,993.950012,291.399994,135.399994
40,2021-07-28,665.400024,97.050003,4028.399902,3004.100098,915.099976,6262.0,2359.899902,78.050003,850.349976,13970.549805,796.049988,836.599976,73.800003,85.550003,50.700001,140.399994,992.75,419.700012,635.950012,228.899994,1546.150024,85.5,652.599976,2295.949951,17.700001,1372.949951,454.600006,713.400024,220.899994,3818.5,778.0,2777.699951,2361.399902,273.899994,208.350006,3084.699951,7654.649902,567.900024,972.799988,284.450012,134.0
